Sanders,Clinton,Trump,Rubio,Cruz,Kasich,Date
62.4149659864,37.5850340136,70.0168918919,0.422297297297,24.7043918919,4.85641891892,2016-04-29
58.2396490266,41.7603509734,63.7665397861,0.507522204096,31.375747689,4.35019032083,2016-04-28
61.6805170822,38.3194829178,64.9044585987,0.573248407643,29.6178343949,4.90445859873,2016-04-20
59.2723836523,40.7276163477,62.3598026021,0.785105428443,33.1987438313,3.65634813818,2016-03-28
60.5912533594,39.4087466406,70.3897147449,0.522298111691,26.9385295299,2.1494576135,2016-03-29
57.1725571726,42.8274428274,51.4604354753,0.51336519738,30.7842095946,17.2419897327,2016-04-25
50.2106149958,49.7893850042,63.7096060204,0.41611332448,31.235059761,4.6392208942,2016-04-27
54.6585138356,45.3414861644,65.0895400895,0.376475376475,25.752950753,8.78103378103,2016-04-26
64.1096689514,35.8903310486,69.7249165209,0.254412466211,25.663857529,4.35681348386,2016-04-03
66.4220183486,33.5779816514,71.2195121951,0.609756097561,25.3658536585,2.80487804878,2016-04-02
61.9704902427,38.0295097573,70.3359633495,0.381776533469,26.0371595826,3.24510053449,2016-04-01
57.6470588235,42.3529411765,55.5555555556,1.11111111111,35.5555555556,7.77777777778,2016-04-07
60.7214246774,39.2785753226,57.4908150769,0.435433392298,37.6513811403,4.42237039053,2016-04-06
64.9230769231,35.0769230769,64.9390243902,0.609756097561,31.4024390244,3.0487804878,2016-04-05
67.2368421053,32.7631578947,71.6666666667,0.0,25.5128205128,2.82051282051,2016-04-04
65.3342070773,34.6657929227,62.3579024569,0.2933626696,33.8467180051,3.50201686835,2016-04-09
63.1398380678,36.8601619322,62.6350921805,0.206611570248,33.7889383344,3.36935791481,2016-04-08
63.3720930233,36.6279069767,78.1609195402,0.0,21.8390804598,0.0,2016-03-31
100.0,0.0,39.7590361446,0.0,42.1686746988,18.0722891566,2016-03-30
63.1352282515,36.8647717485,64.7662889518,0.336402266289,31.0375354108,3.8597733711,2016-04-10
59.8909657321,40.1090342679,60.262077676,0.584149036943,34.1648247553,4.98894853173,2016-04-11
57.8155425739,42.1844574261,64.8684797147,0.891662951404,29.8112646753,4.42859265864,2016-04-12
68.5867895545,31.4132104455,65.7563432113,0.736006197947,30.699205888,2.80844470269,2016-04-13
67.8947368421,32.1052631579,67.4556213018,0.0,31.9526627219,0.591715976331,2016-04-14
50.0,50.0,100.0,0.0,0.0,0.0,2016-04-15
57.616468039,42.383531961,64.6217372069,0.309688836455,28.5061200413,6.56245391535,2016-04-19
49.2278450938,50.7721549062,83.6799276673,0.271247739602,13.4493670886,2.59945750452,2016-05-16
67.1017066955,32.8982933045,79.4086103876,0.168530718554,18.4464531944,1.9764056994,2016-05-18
59.8234624146,40.1765375854,66.2934112301,0.42194092827,27.6046738072,5.6799740344,2016-04-30
64.8695652174,35.1304347826,62.962962963,0.0,33.3333333333,3.7037037037,2016-05-02
62.8873496172,37.1126503828,82.5314581791,0.370096225019,15.7660991858,1.33234641007,2016-05-17
61.8684945418,38.1315054582,65.9888429008,0.179953212165,31.3298542379,2.50134964909,2016-05-01
56.3402889246,43.6597110754,85.1033499644,0.712758374911,13.5424091233,0.64148253742,2016-05-11
58.1578947368,41.8421052632,77.1484375,0.5859375,20.703125,1.5625,2016-05-12
53.0709342561,46.9290657439,82.0775746768,0.356665180562,14.8907712885,2.67498885421,2016-05-15
45.0299401198,54.9700598802,83.49609375,0.1953125,13.76953125,2.5390625,2016-05-05
